-1,0.854545,0.916172,369
0,0.854545,0.916172,369
1,0.855755,0.919297,370
2,0.856962,0.922422,371
3,0.858164,0.925547,372
4,0.860556,0.931797,374
5,0.874544,0.937377,374
6,0.878022,0.942544,374
7,0.875353,0.950398,374
8,0.869525,0.956598,372.7
9,0.862774,0.956598,370.6
10,0.862286,0.956598,370.5
11,0.863262,0.956598,370.7
12,0.861798,0.956598,370.4
13,0.863262,0.956598,370.7
14,0.86375,0.956598,370.8
15,0.862286,0.956598,370.5
16,0.861798,0.956598,370.4
17,0.863262,0.956598,370.7
18,0.862286,0.956598,370.5
19,0.86375,0.956598,370.8
20,0.863262,0.956598,370.7
21,0.86375,0.956598,370.8
22,0.86375,0.956598,370.8
23,0.862774,0.956598,370.6
24,0.862286,0.956598,370.5
25,0.861798,0.956598,370.4
26,0.862774,0.956598,370.6
27,0.863262,0.956598,370.7
28,0.862774,0.956598,370.6
29,0.861798,0.956598,370.4
30,0.862774,0.956598,370.6
31,0.862774,0.956598,370.6
32,0.862774,0.956598,370.6
33,0.862774,0.956598,370.6
34,0.86375,0.956598,370.8
35,0.860822,0.956598,370.2
36,0.864726,0.956598,371
37,0.863262,0.956598,370.7
38,0.86375,0.956598,370.8
39,0.86375,0.956598,370.8
40,0.862774,0.956598,370.6
41,0.861798,0.956598,370.4
42,0.862286,0.956598,370.5
43,0.862286,0.956598,370.5
44,0.862774,0.956598,370.6
45,0.862286,0.956598,370.5
46,0.861798,0.956598,370.4
47,0.861798,0.956598,370.4
48,0.862286,0.956598,370.5
49,0.862774,0.956598,370.6
50,0.862774,0.956598,370.6
51,0.863262,0.956598,370.7
52,0.862774,0.956598,370.6
53,0.863262,0.956598,370.7
54,0.861798,0.956598,370.4
55,0.862286,0.956598,370.5
56,0.862286,0.956598,370.5
57,0.861798,0.956598,370.4
58,0.864238,0.956598,370.9
59,0.862774,0.956598,370.6
60,0.861798,0.956598,370.4
